city,fengxiang,yWendu,tianqi,bWendu,fengli,ymd
哈尔滨,西北风,-23℃,晴,-14℃,3-4级,2015-01-06
哈尔滨,西北风~西风,-25℃,晴,-14℃,微风,2015-01-07
哈尔滨,西风,-23℃,晴,-13℃,微风,2015-01-08
哈尔滨,西风,-22℃,多云~晴,-11℃,微风,2015-01-09
哈尔滨,北风,-23℃,晴,-14℃,3-4级~微风,2015-01-10
哈尔滨,西北风,-25℃,晴,-14℃,微风,2015-01-11
哈尔滨,南风,-19℃,晴,-11℃,3-4级~微风,2015-01-12
哈尔滨,南风,-20℃,晴~多云,-6℃,3-4级~微风,2015-01-13
哈尔滨,西北风,-22℃,晴,-10℃,微风,2015-01-14
哈尔滨,北风,-23℃,晴,-11℃,微风,2015-01-15
哈尔滨,西北风,-22℃,晴~多云,-13℃,微风,2015-01-16
哈尔滨,西南风,-20℃,晴,-11℃,微风,2015-01-17
哈尔滨,北风~东北风,-21℃,多云,-10℃,3-4级~微风,2015-01-18
哈尔滨,西风,-21℃,晴,-11℃,微风,2015-01-19
哈尔滨,西南风,-20℃,晴~多云,-10℃,微风,2015-01-20
哈尔滨,南风,-25℃,多云~晴,-9℃,微风,2015-01-21
哈尔滨,南风~东南风,-21℃,晴,-9℃,微风,2015-01-22
哈尔滨,东南风,-18℃,多云,-6℃,微风,2015-01-23
哈尔滨,西北风~西风,-20℃,晴,-8℃,微风,2015-01-24
哈尔滨,西南风~南风,-15℃,多云,-6℃,微风,2015-01-25
哈尔滨,西南风~西风,-24℃,多云~晴,-8℃,3-4级~微风,2015-01-26
哈尔滨,西风,-23℃,多云~晴,-14℃,3-4级~微风,2015-01-27
哈尔滨,西南风,-19℃,晴,-12℃,微风,2015-01-28
哈尔滨,西南风,-21℃,多云,-10℃,3-4级~微风,2015-01-29
哈尔滨,西风,-24℃,晴,-12℃,3-4级~微风,2015-01-30
哈尔滨,西南风,-20℃,晴,-10℃,微风,2015-01-31
青岛,北风,-3℃,晴,1℃,5-6级~4-5级,2015-01-01
青岛,北风~南风,-1℃,晴,4℃,3-4级,2015-01-02
青岛,南风,2℃,晴,7℃,4-5级~3-4级,2015-01-03
青岛,南风,4℃,晴~多云,9℃,3-4级,2015-01-04
青岛,南风~北风,-2℃,小雨~多云,9℃,3-4级~5-6级,2015-01-05
青岛,北风,-2℃,晴~多云,3℃,5-6级~4-5级,2015-01-06
青岛,北风~西北风,-2℃,晴,4℃,3-4级,2015-01-07
青岛,西北风,-3℃,晴,5℃,3-4级,2015-01-08
青岛,北风~西南风,-2℃,晴,7℃,3-4级,2015-01-09
青岛,西北风,-1℃,晴,9℃,3-4级~4-5级,2015-01-10
青岛,北风~东北风,-3℃,晴,6℃,4-5级~3-4级,2015-01-11
青岛,北风~南风,-2℃,晴~多云,4℃,3-4级,2015-01-12
青岛,东南风,2℃,多云,6℃,3-4级,2015-01-13
青岛,东北风~北风,1℃,多云,8℃,3-4级,2015-01-14
青岛,北风,2℃,晴~多云,7℃,3-4级~4-5级,2015-01-15
青岛,北风,-3℃,多云~晴,5℃,3-4级~4-5级,2015-01-16
青岛,北风~西南风,-3℃,晴~多云,3℃,4-5级,2015-01-17
青岛,南风~北风,0℃,多云~晴,8℃,3-4级~4-5级,2015-01-18
青岛,北风~南风,1℃,晴~多云,6℃,4-5级~3-4级,2015-01-19
青岛,南风~北风,4℃,阴~雨夹雪,7℃,3-4级~4-5级,2015-01-20
青岛,南风~北风,-1℃,阵雨~雨夹雪,5℃,3-4级~5-6级,2015-01-21
青岛,北风~南风,-1℃,晴,4℃,4-5级~3-4级,2015-01-22
青岛,南风~东南风,2℃,晴,6℃,3-4级,2015-01-23
青岛,北风,3℃,多云~小雨,7℃,3-4级~4-5级,2015-01-24
青岛,北风,2℃,小雨~多云,7℃,3-4级,2015-01-25
青岛,北风,-2℃,多云,6℃,3-4级~4-5级,2015-01-26
青岛,北风,-3℃,晴,1℃,5-6级~3-4级,2015-01-27
青岛,北风,-3℃,多云,1℃,3-4级,2015-01-28
青岛,北风,-3℃,阴~晴,1℃,3-4级,2015-01-29
青岛,北风,-4℃,晴,1℃,4-5级~3-4级,2015-01-30
青岛,北风,-3℃,晴,2℃,3-4级,2015-01-31
临沂,北风~南风,-6℃,晴,4℃,3-4级~微风,2015-01-01
临沂,北风~南风,-5℃,晴~多云,7℃,微风,2015-01-02
临沂,南风,-2℃,晴~多云,11℃,微风,2015-01-03
临沂,南风,2℃,晴~多云,11℃,微风,2015-01-04
临沂,南风~东北风,-2℃,小雨~多云,8℃,微风~4-5级,2015-01-05
临沂,北风,-3℃,晴~多云,3℃,3-4级,2015-01-06
临沂,北风,-5℃,多云~晴,5℃,微风,2015-01-07
临沂,北风~西南风,-4℃,晴~多云,8℃,微风,2015-01-08
临沂,北风~西南风,-5℃,晴~多云,11℃,微风,2015-01-09
临沂,西南风~东北风,-4℃,晴~多云,12℃,3-4级,2015-01-10
临沂,东风~东北风,-6℃,晴~多云,9℃,微风,2015-01-11
临沂,东北风~东南风,-4℃,晴~多云,7℃,微风,2015-01-12
临沂,东南风~东北风,-1℃,多云~阴,6℃,微风,2015-01-13
临沂,北风,-1℃,多云~阴,8℃,微风,2015-01-14
临沂,南风~西风,1℃,晴~多云,10℃,微风,2015-01-15
临沂,南风~北风,-5℃,多云,8℃,微风~3-4级,2015-01-16
广州,无持续风向,5℃,晴,20℃,微风,2015-01-01
广州,无持续风向,8℃,晴,20℃,微风,2015-01-02
广州,无持续风向,7℃,晴,21℃,微风,2015-01-03
广州,无持续风向,9℃,阴,22℃,微风,2015-01-04
广州,无持续风向,17℃,阴,23℃,微风,2015-01-05
广州,无持续风向,14℃,多云~小雨,24℃,微风,2015-01-06
广州,北风,10℃,多云,17℃,3-4级,2015-01-07
广州,无持续风向,7℃,晴,18℃,微风,2015-01-08
广州,无持续风向,10℃,多云,18℃,微风,2015-01-09
广州,无持续风向,11℃,晴~多云,20℃,微风,2015-01-10
广州,无持续风向,9℃,小雨~中雨,15℃,微风,2015-01-11
广州,无持续风向,9℃,中到大雨,12℃,微风,2015-01-12
广州,无持续风向,7℃,小雨~多云,15℃,微风,2015-01-13
广州,无持续风向,6℃,晴,20℃,微风,2015-01-14
广州,无持续风向,5℃,晴,19℃,微风,2015-01-15
广州,无持续风向,8℃,晴,20℃,微风,2015-01-16
临沂,北风~西南风,-4℃,晴~多云,5℃,微风,2015-01-17
临沂,西南风~西北风,-3℃,多云~晴,9℃,3-4级~微风,2015-01-18
临沂,北风~南风,-3℃,晴~多云,9℃,微风,2015-01-19
临沂,南风~北风,0℃,多云~雨夹雪,9℃,微风~4-5级,2015-01-20
临沂,北风,-4℃,雨夹雪~多云,5℃,4-5级~3-4级,2015-01-21
临沂,北风~南风,-5℃,晴~多云,6℃,微风,2015-01-22
临沂,南风~东风,-5℃,晴~多云,9℃,微风,2015-01-23
临沂,东风~东北风,-1℃,多云~小雨,8℃,3-4级,2015-01-24
临沂,东北风,-1℃,阴~多云,7℃,3-4级,2015-01-25
临沂,东北风,-3℃,多云,5℃,3-4级~4-5级,2015-01-26
临沂,东北风,-4℃,多云,3℃,3-4级,2015-01-27
临沂,东北风~东风,-5℃,多云~小雪,2℃,微风,2015-01-28
临沂,东北风~北风,-5℃,多云~晴,3℃,3-4级,2015-01-29
临沂,北风~东北风,-6℃,晴~多云,4℃,3-4级,2015-01-30
临沂,东北风~东风,-6℃,晴~多云,3℃,微风,2015-01-31
广州,无持续风向,9℃,晴,21℃,微风,2015-01-17
广州,无持续风向,8℃,晴,20℃,微风,2015-01-18
广州,无持续风向,7℃,晴,20℃,微风,2015-01-19
广州,无持续风向,7℃,晴~多云,21℃,微风,2015-01-20
广州,无持续风向,9℃,霾~晴,22℃,微风,2015-01-21
广州,无持续风向,7℃,晴,22℃,微风,2015-01-22
广州,无持续风向,7℃,晴~多云,23℃,微风,2015-01-23
广州,无持续风向,12℃,多云,21℃,微风,2015-01-24
广州,无持续风向,15℃,多云,23℃,微风,2015-01-25
广州,无持续风向,15℃,多云,24℃,微风,2015-01-26
广州,无持续风向,15℃,多云,24℃,微风,2015-01-27
广州,无持续风向,13℃,多云,22℃,微风,2015-01-28
广州,无持续风向,12℃,阴,20℃,微风,2015-01-29
广州,北风,8℃,阴,16℃,3-4级,2015-01-30
广州,无持续风向,9℃,多云,16℃,微风,2015-01-31
石家庄,西南风~西北风,-4℃,晴,6℃,3-4级~微风,2015-01-01
石家庄,南风~北风,-5℃,晴~霾,5℃,微风,2015-01-02
石家庄,南风~北风,-3℃,霾,5℃,微风,2015-01-03
石家庄,南风~北风,-2℃,霾,6℃,微风,2015-01-04
石家庄,北风,-3℃,霾~晴,7℃,3-4级~微风,2015-01-05
石家庄,北风,-5℃,晴~多云,4℃,微风,2015-01-06
石家庄,南风~北风,-4℃,霾,4℃,微风,2015-01-07
石家庄,北风,-2℃,霾,5℃,微风,2015-01-08
石家庄,西北风~北风,-2℃,晴,7℃,微风,2015-01-09
石家庄,南风~北风,-2℃,霾,9℃,微风,2015-01-10
石家庄,北风,-3℃,晴~多云,6℃,微风,2015-01-11
石家庄,南风~北风,-3℃,霾,3℃,微风,2015-01-12
石家庄,南风~北风,-2℃,霾,5℃,微风,2015-01-13
石家庄,南风~北风,-4℃,霾,4℃,微风,2015-01-14
石家庄,南风~北风,-3℃,霾,2℃,微风,2015-01-15
石家庄,北风,-5℃,晴,6℃,3-4级~微风,2015-01-16
石家庄,北风,-2℃,晴~多云,3℃,微风,2015-01-17
石家庄,西风~西北风,-3℃,晴,9℃,3-4级~微风,2015-01-18
石家庄,南风~北风,-3℃,晴~多云,8℃,3-4级~微风,2015-01-19
石家庄,南风~西北风,-3℃,多云,5℃,微风,2015-01-20
石家庄,西北风,-3℃,晴,7℃,3-4级~微风,2015-01-21
石家庄,北风,-4℃,晴~霾,6℃,微风,2015-01-22
石家庄,南风~北风,-3℃,霾,7℃,微风,2015-01-23
石家庄,东北风,-4℃,小雪~阴,2℃,微风,2015-01-24
石家庄,南风~北风,-3℃,多云,2℃,微风,2015-01-25
石家庄,南风~北风,-4℃,雾~多云,4℃,3-4级~微风,2015-01-26
石家庄,北风,-6℃,晴~多云,2℃,3-4级~微风,2015-01-27
石家庄,南风~北风,-4℃,阴~小雪,1℃,微风,2015-01-28
济宁,南风,-6℃,晴,5℃,微风,2015-01-01
济宁,南风,-4℃,晴~多云,8℃,微风,2015-01-02
济宁,南风,-2℃,晴,12℃,3-4级~微风,2015-01-03
济宁,南风,0℃,晴~多云,12℃,微风,2015-01-04
济宁,北风,-1℃,阵雨~多云,8℃,微风~3-4级,2015-01-05
济宁,北风~南风,-2℃,多云,4℃,3-4级~微风,2015-01-06
济宁,无持续风向,-3℃,多云~晴,7℃,微风,2015-01-07
济宁,南风,-5℃,晴,10℃,微风,2015-01-08
济宁,南风~北风,-2℃,晴,11℃,微风,2015-01-09
济宁,南风,-2℃,晴,13℃,微风,2015-01-10
石家庄,西北风~北风,-5℃,多云~晴,2℃,3-4级~微风,2015-01-29
石家庄,北风,-6℃,晴,4℃,微风,2015-01-30
石家庄,北风,-5℃,晴,3℃,微风,2015-01-31
济宁,北风,-4℃,晴,11℃,微风,2015-01-11
济宁,东风~东南风,-3℃,晴~多云,8℃,微风,2015-01-12
济宁,无持续风向,-3℃,多云,7℃,微风,2015-01-13
济宁,南风,0℃,多云,7℃,微风,2015-01-14
济宁,南风~北风,0℃,晴,7℃,微风,2015-01-15
济宁,北风,-5℃,多云~晴,7℃,3-4级,2015-01-16
济宁,北风~南风,-4℃,晴~多云,6℃,微风,2015-01-17
济宁,北风,-2℃,多云~晴,11℃,微风,2015-01-18
济宁,南风,-3℃,晴~多云,11℃,微风,2015-01-19
济宁,南风~北风,1℃,多云~阴,11℃,3-4级~微风,2015-01-20
济宁,北风,-6℃,阴~晴,7℃,3-4级~微风,2015-01-21
济宁,北风~南风,-4℃,晴,6℃,微风,2015-01-22
济宁,南风,-1℃,晴,11℃,微风,2015-01-23
淄博,南风,-8℃,晴,3℃,微风,2015-01-01
淄博,北风,-6℃,晴,7℃,微风,2015-01-02
淄博,南风,-4℃,晴,10℃,3-4级,2015-01-03
淄博,南风,0℃,多云,13℃,微风,2015-01-04
淄博,北风,-4℃,小雨~多云,7℃,4-5级,2015-01-05
淄博,北风,-7℃,多云,3℃,3-4级,2015-01-06
淄博,南风,-6℃,多云~晴,5℃,微风,2015-01-07
淄博,南风,-6℃,晴,9℃,微风,2015-01-08
淄博,北风,-5℃,晴,7℃,微风,2015-01-09
淄博,南风,-3℃,晴,12℃,微风,2015-01-10
淄博,北风~南风,-5℃,晴,7℃,微风,2015-01-11
淄博,南风,-7℃,晴~多云,7℃,微风,2015-01-12
淄博,南风,-2℃,多云,7℃,微风,2015-01-13
淄博,南风,-3℃,多云,9℃,微风,2015-01-14
济宁,南风~北风,0℃,小雨,7℃,微风,2015-01-24
济宁,北风,-2℃,阴~多云,6℃,微风,2015-01-25
济宁,北风,-2℃,多云,7℃,微风,2015-01-26
济宁,东北风,-2℃,多云,3℃,微风,2015-01-27
济宁,无持续风向,-3℃,阴~小雪,1℃,微风,2015-01-28
济宁,北风,-4℃,阴~多云,3℃,6-7级,2015-01-29
济宁,无持续风向,-6℃,晴,3℃,微风,2015-01-30
济宁,北风~南风,-5℃,晴,3℃,微风,2015-01-31
淄博,南风,-1℃,多云,8℃,微风,2015-01-15
淄博,北风,-8℃,晴,5℃,3-4级~微风,2015-01-16
淄博,北风~南风,-5℃,晴~多云,6℃,3-4级,2015-01-17
淄博,南风~北风,-6℃,多云~晴,10℃,3-4级~微风,2015-01-18
淄博,南风,-3℃,晴~多云,9℃,微风,2015-01-19
淄博,南风~北风,0℃,阴~雨夹雪,9℃,微风,2015-01-20
淄博,东北风,-8℃,小雪~晴,1℃,3-4级,2015-01-21
淄博,南风,-6℃,晴,5℃,微风,2015-01-22
淄博,南风,-3℃,晴,11℃,微风,2015-01-23
淄博,东北风,-2℃,小雨~雨夹雪,8℃,微风,2015-01-24
淄博,北风,-5℃,多云,4℃,微风,2015-01-25
淄博,北风,-6℃,多云,5℃,3-4级~4-5级,2015-01-26
淄博,北风,-8℃,晴,2℃,微风,2015-01-27
淄博,北风,-6℃,晴~阴,2℃,微风,2015-01-28
淄博,北风,-7℃,多云~晴,2℃,微风~3-4级,2015-01-29
淄博,北风,-8℃,晴,2℃,3-4级,2015-01-30
东营,西北风,-5℃,晴,2℃,3-4级,2015-01-01
东营,无持续风向,-4℃,晴~多云,4℃,微风,2015-01-02
东营,西南风~北风,-2℃,多云~晴,8℃,3-4级,2015-01-03
东营,东南风,0℃,多云~雨夹雪,11℃,3-4级,2015-01-04
东营,西北风~北风,-3℃,小雨~多云,5℃,3-4级~4-5级,2015-01-05
东营,北风~南风,-3℃,晴,3℃,3-4级,2015-01-06
东营,无持续风向,-5℃,晴~多云,5℃,微风,2015-01-07
东营,南风~北风,-4℃,晴~多云,7℃,3-4级,2015-01-08
东营,西北风~西南风,-3℃,晴,6℃,3-4级,2015-01-09
东营,无持续风向,-2℃,晴,11℃,微风,2015-01-10
东营,无持续风向,-4℃,晴~多云,4℃,微风,2015-01-11
淄博,南风,-7℃,晴,3℃,微风,2015-01-31
东营,东南风~南风,-3℃,晴~多云,4℃,3-4级,2015-01-12
东营,南风,-1℃,多云,6℃,3-4级,2015-01-13
东营,无持续风向,0℃,晴~多云,8℃,微风,2015-01-14
东营,东南风~西北风,0℃,多云,6℃,3-4级,2015-01-15
东营,北风~西风,-5℃,晴,3℃,4-5级~3-4级,2015-01-16
东营,西风~西南风,-4℃,晴~多云,6℃,3-4级,2015-01-17
东营,西南风~西北风,-4℃,多云~晴,9℃,3-4级~4-5级,2015-01-18
东营,西北风~南风,-2℃,晴~多云,6℃,3-4级,2015-01-19
东营,南风~北风,1℃,多云~雨夹雪,11℃,3-4级~4-5级,2015-01-20
东营,北风,-5℃,阴~多云,2℃,4-5级~3-4级,2015-01-21
东营,无持续风向,-4℃,晴,5℃,微风,2015-01-22
东营,南风~东北风,-2℃,晴,10℃,3-4级,2015-01-23
东营,东北风,0℃,雨夹雪,5℃,3-4级,2015-01-24
东营,无持续风向,-4℃,多云,4℃,微风,2015-01-25
东营,东北风,-4℃,多云~晴,5℃,3-4级~4-5级,2015-01-26
东营,北风,-6℃,多云,1℃,3-4级,2015-01-27
东营,东北风~南风,-4℃,多云~阴,1℃,3-4级,2015-01-28
东营,无持续风向,-4℃,多云,2℃,微风,2015-01-29
滨州,西北风~西南风,-8℃,晴,3℃,微风,2015-01-01
滨州,无持续风向,-6℃,晴~多云,6℃,微风,2015-01-02
滨州,无持续风向,-5℃,多云,10℃,微风,2015-01-03
滨州,东风~东南风,-3℃,晴~雨夹雪,11℃,微风,2015-01-04
滨州,无持续风向~东北风,-4℃,雨夹雪~晴,6℃,微风~4-5级,2015-01-05
滨州,北风~南风,-6℃,晴~多云,3℃,3-4级~微风,2015-01-06
滨州,南风,-7℃,晴,5℃,微风,2015-01-07
滨州,无持续风向,-8℃,晴,8℃,微风,2015-01-08
滨州,西北风~西南风,-6℃,晴,6℃,微风,2015-01-09
滨州,无持续风向~东北风,-7℃,晴,11℃,微风~3-4级,2015-01-10
滨州,东风~东南风,-7℃,晴,6℃,3-4级~微风,2015-01-11
滨州,无持续风向,-5℃,晴~多云,6℃,微风,2015-01-12
滨州,南风,-6℃,多云~阴,6℃,微风,2015-01-13
滨州,西南风~东北风,-2℃,多云,8℃,微风,2015-01-14
滨州,无持续风向~北风,-1℃,多云~阴,6℃,微风~4-5级,2015-01-15
滨州,西北风~南风,-7℃,多云~晴,3℃,3-4级~微风,2015-01-16
滨州,西南风,-6℃,多云,5℃,微风~3-4级,2015-01-17
东营,北风,-7℃,晴~多云,2℃,3-4级,2015-01-30
东营,西北风~南风,-6℃,晴,2℃,3-4级,2015-01-31
滨州,西南风~西北风,-5℃,多云~晴,9℃,3-4级,2015-01-18
滨州,东南风~南风,-3℃,晴~多云,7℃,微风,2015-01-19
滨州,无持续风向~东北风,-1℃,阴~雨夹雪,10℃,微风~4-5级,2015-01-20
滨州,西北风,-6℃,阴~多云,2℃,4-5级~微风,2015-01-21
滨州,南风~西南风,-7℃,晴,6℃,微风,2015-01-22
滨州,无持续风向,-4℃,晴~多云,10℃,微风,2015-01-23
滨州,东南风~东北风,-1℃,小雨~雨夹雪,7℃,微风~3-4级,2015-01-24
滨州,无持续风向,-4℃,多云,3℃,微风,2015-01-25
滨州,无持续风向~东北风,-5℃,阴~多云,4℃,微风~4-5级,2015-01-26
滨州,北风~东南风,-7℃,晴,1℃,3-4级~微风,2015-01-27
滨州,无持续风向,-6℃,多云~阴,2℃,微风,2015-01-28
滨州,西南风~西北风,-6℃,多云~晴,2℃,微风~3-4级,2015-01-29
滨州,北风~无持续风向,-9℃,晴,2℃,3-4级~微风,2015-01-30
滨州,西北风~西南风,-8℃,晴,4℃,3-4级~微风,2015-01-31
枣庄,无持续风向,-5℃,晴,4℃,微风,2015-01-01
枣庄,无持续风向,-4℃,多云,7℃,微风,2015-01-02
枣庄,无持续风向,-1℃,晴,10℃,微风,2015-01-03
枣庄,南风,0℃,晴~多云,13℃,3-4级,2015-01-04
枣庄,南风~北风,-1℃,阵雨~多云,9℃,3-4级~4-5级,2015-01-05
枣庄,北风,-2℃,多云~晴,4℃,3-4级,2015-01-06
枣庄,无持续风向,-4℃,多云~晴,6℃,微风,2015-01-07
枣庄,无持续风向,-4℃,晴~多云,9℃,微风,2015-01-08
枣庄,无持续风向,-4℃,晴,11℃,微风,2015-01-09
枣庄,无持续风向,-2℃,晴,12℃,微风,2015-01-10
枣庄,无持续风向,-2℃,晴,12℃,微风,2015-01-11
枣庄,无持续风向,-1℃,多云,7℃,微风,2015-01-12
枣庄,东风,-1℃,多云,7℃,微风,2015-01-13
枣庄,无持续风向,0℃,多云,8℃,微风,2015-01-14
枣庄,无持续风向,3℃,多云,10℃,微风,2015-01-15
枣庄,无持续风向,-5℃,晴~多云,8℃,微风,2015-01-16
枣庄,北风~南风,-5℃,晴,6℃,3-4级,2015-01-17
枣庄,无持续风向,-3℃,晴,10℃,微风,2015-01-18
枣庄,北风~南风,-2℃,晴~多云,10℃,3-4级~微风,2015-01-19
枣庄,无持续风向,1℃,多云~阴,9℃,微风,2015-01-20
枣庄,北风,-5℃,雨夹雪~多云,5℃,4-5级~3-4级,2015-01-21
枣庄,无持续风向,-3℃,晴,6℃,微风,2015-01-22
枣庄,无持续风向,-2℃,晴~多云,10℃,微风,2015-01-23
枣庄,北风,2℃,多云~小雨,7℃,3-4级,2015-01-24
枣庄,北风~东风,1℃,阴~多云,8℃,微风,2015-01-25
枣庄,东北风,-2℃,多云,6℃,3-4级,2015-01-26
枣庄,无持续风向,-4℃,多云,3℃,微风,2015-01-27
枣庄,无持续风向,-3℃,多云~小雪,3℃,微风,2015-01-28
枣庄,无持续风向,-4℃,多云~晴,1℃,微风,2015-01-29
枣庄,北风,-4℃,多云~晴,4℃,3-4级,2015-01-30
枣庄,东北风~东风,-5℃,晴~多云,3℃,微风,2015-01-31
德州,西北风~西南风,-6℃,晴,4℃,3-4级,2015-01-01
德州,北风~西南风,-5℃,晴~多云,6℃,3-4级,2015-01-02
德州,西南风,-2℃,晴,11℃,微风~3-4级,2015-01-03
德州,南风~北风,-1℃,多云~阵雨,11℃,3-4级,2015-01-04
德州,北风,-4℃,阴~晴,5℃,3-4级~微风,2015-01-05
德州,北风,-4℃,晴~多云,4℃,3-4级,2015-01-06
德州,南风,-3℃,晴,7℃,微风,2015-01-07
德州,南风~西北风,-3℃,晴,7℃,微风,2015-01-08
德州,西北风~西南风,-3℃,晴,7℃,微风,2015-01-09
德州,西南风~东北风,-1℃,晴,11℃,微风~3-4级,2015-01-10
德州,东北风,-4℃,晴,7℃,3-4级,2015-01-11
德州,南风,-3℃,晴~多云,7℃,3-4级,2015-01-12
德州,南风~东北风,-2℃,多云,7℃,微风,2015-01-13
德州,西南风,-1℃,多云~阴,7℃,微风,2015-01-14
德州,东北风~南风,-1℃,霾~多云,6℃,微风~3-4级,2015-01-15
德州,北风~东北风,-5℃,多云~晴,3℃,3-4级,2015-01-16
德州,北风~南风,-5℃,晴~多云,6℃,微风,2015-01-17
德州,西南风~西北风,-4℃,多云~晴,9℃,3-4级,2015-01-18
德州,北风~南风,-2℃,晴~多云,10℃,3-4级,2015-01-19
德州,南风~北风,0℃,多云~雨夹雪,10℃,3-4级,2015-01-20
德州,北风~南风,-6℃,多云~晴,5℃,3-4级,2015-01-21
德州,西南风,-5℃,晴,7℃,微风,2015-01-22
德州,西南风~北风,-1℃,晴~多云,9℃,微风,2015-01-23
德州,北风,-1℃,雨夹雪,6℃,3-4级,2015-01-24
德州,北风,-4℃,多云,3℃,3-4级,2015-01-25
德州,北风,-5℃,雾~多云,4℃,微风~3-4级,2015-01-26
德州,东北风,-6℃,多云~晴,2℃,3-4级~微风,2015-01-27
德州,北风,-5℃,多云~小雪,2℃,3-4级,2015-01-28
德州,南风~东北风,-5℃,多云~晴,3℃,微风~3-4级,2015-01-29
德州,北风,-7℃,晴,2℃,3-4级,2015-01-30
威海,北风,-4℃,阵雪~多云,0℃,6-7级~5-6级,2015-01-01
