ip,port
27.106.204.0,80
27.109.32.0,80
27.109.124.0,80
27.112.0.0,80
27.112.80.0,80
27.113.128.0,80
27.115.0.0,80
27.116.44.0,80
27.121.72.0,80
27.121.120.0,80
27.128.0.0,80
27.131.220.0,80
27.144.0.0,80
27.148.0.0,80
27.152.0.0,80
27.184.0.0,80
27.192.0.0,80
27.224.0.0,80
36.0.0.0,80
36.0.16.0,80
36.0.32.0,80
36.0.64.0,80
36.0.128.0,80
36.1.0.0,80
36.4.0.0,80
36.16.0.0,80
36.32.0.0,80
36.36.0.0,80
36.37.0.0,80
36.37.36.0,80
36.37.39.0,80
36.37.40.0,80
36.37.48.0,80
36.40.0.0,80
36.48.0.0,80
36.51.0.0,80
36.51.128.0,80
36.51.192.0,80
36.51.224.0,80
36.51.240.0,80
36.51.248.0,80
36.51.252.0,80
36.56.0.0,80
36.96.0.0,80
36.128.0.0,80
36.192.0.0,80
36.248.0.0,80
36.254.0.0,80
36.255.116.0,80
36.255.128.0,80
36.255.164.0,80
36.255.172.0,80
36.255.176.0,80
39.0.0.0,80
39.0.2.0,80
39.0.4.0,80
39.0.8.0,80
39.0.16.0,80
39.0.32.0,80
39.0.64.0,80
39.0.128.0,80
39.64.0.0,80
39.96.0.0,80
39.104.0.0,80
39.108.0.0,80
39.128.0.0,80
40.0.176.0,80
40.0.247.0,80
40.0.248.0,80
40.0.252.0,80
40.0.255.0,80
40.72.0.0,80
40.125.128.0,80
40.126.64.0,80
40.198.10.0,80
40.198.16.0,80
40.198.24.0,80
40.250.16.0,80
40.251.227.0,80
42.0.0.0,80
42.0.8.0,80
42.0.16.0,80
42.0.24.0,80
42.0.32.0,80
42.0.128.0,80
42.0.160.0,80
42.0.176.0,80
42.0.184.0,80
42.0.186.0,80
42.0.188.0,80
42.0.192.0,80
42.0.208.0,80
42.0.216.0,80
42.0.220.0,80
42.0.223.0,80
42.0.224.0,80
42.1.0.0,80
42.1.32.0,80
42.1.48.0,80
42.1.56.0,80
42.4.0.0,80
42.48.0.0,80
42.56.0.0,80
42.62.0.0,80
42.62.128.0,80
42.62.160.0,80
42.62.180.0,80
42.62.184.0,80
42.63.0.0,80
42.80.0.0,80
42.83.64.0,80
42.83.80.0,80
42.83.88.0,80
42.83.96.0,80
42.83.128.0,80
42.83.140.0,80
42.83.142.0,80
42.83.144.0,80
42.83.160.0,80
42.83.192.0,80
42.84.0.0,80
42.88.0.0,80
42.96.64.0,80
42.96.96.0,80
42.96.108.0,80
42.96.112.0,80
42.96.128.0,80
42.97.0.0,80
42.99.0.0,80
42.99.64.0,80
42.99.96.0,80
42.99.112.0,80
42.99.120.0,80
42.100.0.0,80
42.120.0.0,80
42.122.0.0,80
42.123.0.0,80
42.123.36.0,80
42.123.40.0,80
42.123.48.0,80
42.123.64.0,80
42.123.128.0,80
42.123.160.0,80
42.123.164.0,80
42.123.166.0,80
42.123.168.0,80
42.123.176.0,80
42.123.192.0,80
42.128.0.0,80
42.156.0.0,80
42.156.36.0,80
42.156.40.0,80
42.156.48.0,80
42.156.64.0,80
42.156.128.0,80
42.157.0.0,80
42.158.0.0,80
42.160.0.0,80
42.176.0.0,80
42.184.0.0,80
42.186.0.0,80
42.187.0.0,80
42.187.64.0,80
42.187.96.0,80
42.187.112.0,80
42.187.120.0,80
42.187.128.0,80
42.192.0.0,80
42.201.0.0,80
42.202.0.0,80
42.204.0.0,80
42.208.0.0,80
42.224.0.0,80
42.240.0.0,80
42.242.0.0,80
42.244.0.0,80
42.248.0.0,80
43.224.12.0,80
43.224.24.0,80
43.224.44.0,80
43.224.52.0,80
43.224.56.0,80
43.224.64.0,80
43.224.72.0,80
43.224.80.0,80
43.224.100.0,80
43.224.144.0,80
43.224.160.0,80
43.224.176.0,80
43.224.184.0,80
43.224.200.0,80
43.224.208.0,80
43.224.216.0,80
43.224.240.0,80
43.225.76.0,80
43.225.84.0,80
43.225.120.0,80
43.225.180.0,80
43.225.184.0,80
43.225.208.0,80
43.225.216.0,80
43.225.224.0,80
43.225.240.0,80
43.225.252.0,80
43.226.32.0,80
43.226.64.0,80
43.226.96.0,80
43.226.112.0,80
43.226.120.0,80
43.226.128.0,80
43.226.192.0,80
43.226.208.0,80
43.226.236.0,80
43.226.240.0,80
43.227.0.0,80
43.227.8.0,80
43.227.32.0,80
43.227.64.0,80
43.227.96.0,80
43.227.104.0,80
43.227.136.0,80
43.227.144.0,80
43.227.152.0,80
43.227.160.0,80
43.227.176.0,80
43.227.188.0,80
43.227.192.0,80
43.227.232.0,80
43.227.248.0,80
43.228.0.0,80
43.228.64.0,80
43.228.76.0,80
43.228.100.0,80
43.228.116.0,80
43.228.132.0,80
43.228.136.0,80
43.228.148.0,80
43.228.152.0,80
43.228.188.0,80
43.229.40.0,80
43.229.56.0,80
43.229.96.0,80
43.229.136.0,80
43.229.168.0,80
43.229.176.0,80
43.229.192.0,80
43.229.216.0,80
43.229.232.0,80
43.230.20.0,80
43.230.32.0,80
43.230.68.0,80
43.230.72.0,80
43.230.84.0,80
43.230.124.0,80
43.230.220.0,80
43.230.224.0,80
43.231.12.0,80
43.231.32.0,80
43.231.80.0,80
43.231.96.0,80
43.231.136.0,80
43.231.144.0,80
43.231.160.0,80
43.231.176.0,80
43.236.0.0,80
43.238.0.0,80
43.239.0.0,80
43.239.32.0,80
43.239.48.0,80
43.239.116.0,80
43.239.120.0,80
43.239.172.0,80
43.240.0.0,80
43.240.56.0,80
43.240.68.0,80
43.240.72.0,80
43.240.84.0,80
43.240.124.0,80
43.240.128.0,80
43.240.136.0,80
43.240.156.0,80
43.240.160.0,80
43.240.192.0,80
43.240.240.0,80
43.241.0.0,80
43.241.16.0,80
43.241.48.0,80
43.241.76.0,80
43.241.80.0,80
43.241.112.0,80
43.241.168.0,80
43.241.176.0,80
43.241.184.0,80
43.241.208.0,80
43.241.224.0,80
43.241.240.0,80
43.241.248.0,80
43.242.8.0,80
43.242.16.0,80
43.242.48.0,80
43.242.64.0,80
43.242.72.0,80
43.242.80.0,80
43.242.96.0,80
43.242.144.0,80
43.242.160.0,80
43.242.180.0,80
43.242.188.0,80
43.242.192.0,80
43.242.204.0,80
43.242.216.0,80
43.242.252.0,80
43.243.4.0,80
43.243.8.0,80
43.243.16.0,80
43.243.88.0,80
43.243.128.0,80
43.243.136.0,80
43.243.144.0,80
43.243.156.0,80
43.243.180.0,80
43.243.228.0,80
43.243.232.0,80
43.243.244.0,80
43.246.0.0,80
43.246.64.0,80
43.246.96.0,80
43.246.228.0,80
43.247.4.0,80
43.247.8.0,80
43.247.44.0,80
43.247.48.0,80
43.247.68.0,80
43.247.76.0,80
43.247.84.0,80
43.247.88.0,80
43.247.96.0,80
43.247.108.0,80
43.247.112.0,80
43.247.148.0,80
43.247.152.0,80
43.247.176.0,80
43.247.196.0,80
43.247.200.0,80
43.247.208.0,80
43.247.224.0,80
43.248.0.0,80
43.248.20.0,80
43.248.28.0,80
43.248.48.0,80
43.248.76.0,80
43.248.80.0,80
43.248.96.0,80
43.248.128.0,80
43.248.144.0,80
43.248.176.0,80
43.248.192.0,80
43.248.208.0,80
43.248.228.0,80
43.248.232.0,80
43.248.244.0,80
43.249.4.0,80
43.249.120.0,80
43.249.132.0,80
43.249.136.0,80
43.249.144.0,80
43.249.160.0,80
43.249.168.0,80
43.249.192.0,80
43.249.236.0,80
43.250.4.0,80
43.250.12.0,80
43.250.16.0,80
43.250.28.0,80
43.250.32.0,80
43.250.96.0,80
43.250.112.0,80
43.250.128.0,80
43.250.144.0,80
43.250.160.0,80
43.250.168.0,80
43.250.176.0,80
43.250.200.0,80
43.250.212.0,80
43.250.216.0,80
43.250.236.0,80
43.250.244.0,80
43.251.4.0,80
43.251.12.0,80
43.251.36.0,80
43.251.192.0,80
43.251.232.0,80
43.251.244.0,80
43.252.48.0,80
43.252.56.0,80
43.254.0.0,80
43.254.8.0,80
43.254.24.0,80
43.254.36.0,80
43.254.44.0,80
43.254.52.0,80
43.254.64.0,80
43.254.72.0,80
43.254.84.0,80
43.254.88.0,80
43.254.100.0,80
43.254.104.0,80
43.254.112.0,80
43.254.128.0,80
43.254.136.0,80
43.254.144.0,80
43.254.168.0,80
43.254.180.0,80
43.254.184.0,80
43.254.192.0,80
43.254.200.0,80
43.254.208.0,80
43.254.220.0,80
43.254.224.0,80
43.254.240.0,80
43.254.248.0,80
43.255.0.0,80
43.255.8.0,80
43.255.16.0,80
43.255.48.0,80
43.255.64.0,80
43.255.84.0,80
43.255.96.0,80
43.255.144.0,80
43.255.176.0,80
43.255.184.0,80
43.255.192.0,80
43.255.200.0,80
43.255.208.0,80
43.255.224.0,80
43.255.232.0,80
43.255.244.0,80
45.65.16.0,80
45.112.132.0,80
45.112.188.0,80
45.112.208.0,80
45.112.216.0,80
45.112.228.0,80
45.112.232.0,80
45.113.12.0,80
45.113.16.0,80
45.113.40.0,80
45.113.52.0,80
45.113.72.0,80
45.113.144.0,80
45.113.168.0,80
45.113.176.0,80
45.113.184.0,80
45.113.200.0,80
45.113.208.0,80
45.113.228.0,80
45.113.240.0,80
45.113.252.0,80
45.114.0.0,80
45.114.32.0,80
45.114.40.0,80
45.114.52.0,80
45.114.96.0,80
45.114.136.0,80
45.114.196.0,80
45.114.200.0,80
45.114.228.0,80
45.114.236.0,80
45.114.252.0,80
45.115.44.0,80
45.115.100.0,80
45.115.120.0,80
45.115.132.0,80
45.115.144.0,80
45.115.156.0,80
45.115.164.0,80
45.115.200.0,80
45.115.212.0,80
45.115.216.0,80
45.115.244.0,80
45.115.248.0,80
45.116.16.0,80
45.116.24.0,80
45.116.32.0,80
45.116.52.0,80
45.116.96.0,80
45.116.140.0,80
45.116.152.0,80
45.116.208.0,80
45.117.8.0,80
45.117.20.0,80
45.117.68.0,80
45.117.124.0,80
45.117.252.0,80
45.119.60.0,80
45.119.64.0,80
45.119.72.0,80
45.119.104.0,80
45.119.232.0,80
45.120.100.0,80
45.120.140.0,80
45.120.164.0,80
45.120.240.0,80
45.121.52.0,80
45.121.64.0,80
45.121.72.0,80
45.121.92.0,80
45.121.96.0,80
45.121.172.0,80
45.121.176.0,80
45.121.240.0,80
45.122.0.0,80
45.122.32.0,80
45.122.40.0,80
45.122.60.0,80
45.122.64.0,80
45.122.96.0,80
45.122.112.0,80
45.122.160.0,80
45.122.192.0,80
45.122.208.0,80
45.122.216.0,80
45.123.28.0,80
45.123.32.0,80
45.123.44.0,80
45.123.48.0,80
45.123.64.0,80
45.123.80.0,80
45.123.88.0,80
45.123.120.0,80
45.123.128.0,80
45.123.136.0,80
45.123.148.0,80
45.123.152.0,80
45.123.164.0,80
45.123.168.0,80
45.123.176.0,80
45.123.184.0,80
45.123.204.0,80
45.123.212.0,80
45.123.224.0,80
45.124.0.0,80
45.124.20.0,80
45.124.28.0,80
45.124.32.0,80
45.124.44.0,80
45.124.68.0,80
45.124.76.0,80
45.124.80.0,80
45.124.100.0,80
45.124.124.0,80
45.124.172.0,80
45.124.176.0,80
45.124.208.0,80
45.124.248.0,80
45.124.253.0,80
45.124.254.0,80
45.125.24.0,80
45.125.44.0,80
45.125.52.0,80
45.125.56.0,80
45.125.76.0,80
45.125.80.0,80
45.125.96.0,80
45.125.136.0,80
45.126.48.0,80
45.126.108.0,80
45.126.112.0,80
45.126.120.0,80
45.126.220.0,80
45.127.8.0,80
45.127.128.0,80
45.127.144.0,80
45.127.156.0,80
45.221.0.0,80
45.248.8.0,80
45.248.80.0,80
45.248.84.0,80
45.248.86.0,80
45.248.88.0,80
45.248.96.0,80
45.248.128.0,80
45.248.204.0,80
45.248.208.0,80
45.248.224.0,80
45.249.0.0,80
45.249.12.0,80
45.249.16.0,80
45.249.32.0,80
45.249.92.0,80
45.249.112.0,80
45.249.180.0,80
45.249.188.0,80
45.249.192.0,80
45.249.208.0,80
45.250.12.0,80
45.250.16.0,80
45.250.28.0,80
45.250.32.0,80
45.250.40.0,80
45.250.76.0,80
45.250.80.0,80
45.250.96.0,80
45.250.104.0,80
45.250.112.0,80
45.250.128.0,80
45.250.144.0,80
45.250.152.0,80
45.250.164.0,80
45.250.180.0,80
45.250.184.0,80
45.250.192.0,80
45.251.0.0,80
45.251.8.0,80
45.251.16.0,80
45.251.52.0,80
45.251.84.0,80
45.251.88.0,80
45.251.96.0,80
45.251.120.0,80
45.251.136.0,80
45.251.144.0,80
45.251.160.0,80
45.251.192.0,80
45.251.224.0,80
45.252.0.0,80
45.252.32.0,80
45.252.48.0,80
45.252.60.0,80
45.252.84.0,80
45.252.88.0,80
45.252.96.0,80
45.252.128.0,80
45.252.160.0,80
45.252.176.0,80
45.252.192.0,80
45.252.224.0,80
45.252.232.0,80
45.253.0.0,80
45.253.64.0,80
45.253.80.0,80
45.253.92.0,80
45.253.96.0,80
45.253.112.0,80
45.253.120.0,80
45.253.130.0,80
45.253.132.0,80
45.253.136.0,80
45.253.144.0,80
45.253.160.0,80
45.253.192.0,80
45.254.0.0,80
45.254.40.0,80
45.254.48.0,80
45.254.64.0,80
45.254.128.0,80
45.254.192.0,80
45.254.224.0,80
45.254.236.0,80
45.254.240.0,80
45.254.248.0,80
45.255.0.0,80
45.255.132.0,80
45.255.136.0,80
45.255.144.0,80
45.255.160.0,80
45.255.192.0,80
45.255.224.0,80
45.255.240.0,80
45.255.248.0,80
47.92.0.0,80
47.96.0.0,80
49.4.0.0,80
49.51.32.0,80
49.51.64.0,80
49.51.128.0,80
49.52.0.0,80
49.64.0.0,80
49.112.0.0,80
49.120.0.0,80
49.128.0.0,80
49.128.2.0,80
49.140.0.0,80
49.152.0.0,80
49.208.0.0,80
49.220.0.0,80
49.232.0.0,80
49.239.0.0,80
49.239.192.0,80
52.95.216.0,80
52.95.255.0,80
54.222.0.0,80
54.231.208.0,80
58.14.0.0,80
58.16.0.0,80
58.24.0.0,80
58.30.0.0,80
58.32.0.0,80
58.65.232.0,80
58.66.0.0,80
58.68.128.0,80
58.68.160.0,80
58.68.163.0,80
58.68.164.0,80
58.68.179.0,80
58.68.180.0,80
58.68.200.0,80
58.68.208.0,80
58.68.224.0,80
58.82.0.0,80
58.83.0.0,80
58.87.64.0,80
58.99.128.0,80
58.100.0.0,80
58.116.0.0,80
58.128.0.0,80
58.144.0.0,80
58.154.0.0,80
58.192.0.0,80
58.240.0.0,80
59.32.0.0,80
59.64.0.0,80
59.81.0.0,80
59.82.0.0,80
59.83.0.0,80
59.83.128.0,80
59.107.0.0,80
59.108.0.0,80
59.151.0.0,80
59.152.16.0,80
59.152.32.0,80
59.152.64.0,80
59.152.112.0,80
59.153.4.0,80
59.153.32.0,80
59.153.64.0,80
59.153.72.0,80
59.153.92.0,80
59.153.116.0,80
59.153.136.0,80
59.153.152.0,80
59.153.164.0,80
59.153.168.0,80
59.153.176.0,80
59.153.192.0,80
59.155.0.0,80
59.172.0.0,80
59.191.0.0,80
59.192.0.0,80
60.0.0.0,80
60.55.0.0,80
60.63.0.0,80
60.160.0.0,80
60.194.0.0,80
60.200.0.0,80
60.208.0.0,80
60.232.0.0,80
60.235.0.0,80
60.245.128.0,80
60.247.0.0,80
60.252.0.0,80
60.253.128.0,80
60.255.0.0,80
61.4.81.0,80
61.4.82.0,80
61.4.84.0,80
61.4.88.0,80
61.4.176.0,80
61.8.160.0,80
61.14.212.0,80
61.14.216.0,80
61.14.240.0,80
61.28.0.0,80
61.28.195.0,80
61.28.196.0,80
61.29.128.0,80
61.29.192.0,80
61.29.224.0,80
61.45.128.0,80
61.45.224.0,80
61.47.128.0,80
61.48.0.0,80
61.87.192.0,80
61.128.0.0,80
61.232.0.0,80
61.236.0.0,80
61.240.0.0,80
65.55.209.0,80
72.21.221.0,80
72.163.248.0,80
87.254.207.0,80
93.183.14.0,80
93.183.18.0,80
101.0.1.0,80
101.0.2.0,80
101.1.0.0,80
101.2.172.0,80
101.4.0.0,80
101.16.0.0,80
101.32.0.0,80
101.34.0.0,80
101.35.0.0,80
101.35.16.0,80
101.35.21.0,80
101.35.22.0,80
101.35.24.0,80
101.35.32.0,80
101.35.64.0,80
101.35.80.0,80
101.35.84.0,80
101.35.88.0,80
101.35.96.0,80
101.35.128.0,80
101.36.0.0,80
101.36.64.0,80
101.36.88.0,80
101.36.96.0,80
101.36.128.0,80
101.37.0.0,80
101.38.0.0,80
101.40.0.0,80
101.48.0.0,80
101.48.16.0,80
101.48.21.0,80
101.48.23.0,80
101.48.24.0,80
101.48.32.0,80
101.48.64.0,80
101.48.96.0,80
101.48.112.0,80
101.48.120.0,80
101.48.124.0,80
101.48.126.0,80
101.48.128.0,80
101.49.0.0,80
101.50.56.0,80
101.52.0.0,80
101.53.100.0,80
101.54.0.0,80
101.55.224.0,80
101.64.0.0,80
101.72.0.0,80
101.76.0.0,80
101.78.0.0,80
101.78.32.0,80
101.80.0.0,80
101.96.0.0,80
101.96.8.0,80
101.96.16.0,80
101.96.128.0,80
101.96.160.0,80
101.96.168.0,80
101.96.171.0,80
101.96.172.0,80
101.96.176.0,80
101.96.192.0,80
101.96.224.0,80
101.96.229.0,80
101.96.230.0,80
101.96.232.0,80
101.96.240.0,80
101.99.96.0,80
101.101.64.0,80
101.101.100.0,80
101.101.102.0,80
101.101.104.0,80
101.101.112.0,80
101.102.64.0,80
101.102.100.0,80
101.102.102.0,80
101.102.104.0,80
101.102.112.0,80
101.104.0.0,80
101.110.64.0,80
101.110.96.0,80
101.110.116.0,80
101.110.120.0,80
101.120.0.0,80
101.124.0.0,80
101.124.128.0,80
101.124.132.0,80
101.124.134.0,80
101.124.137.0,80
101.124.138.0,80
101.124.140.0,80
101.124.144.0,80
101.124.160.0,80
101.124.176.0,80
101.124.180.0,80
101.124.182.0,80
101.124.184.0,80
101.124.192.0,80
101.125.0.0,80
101.126.0.0,80
101.128.0.0,80
101.128.8.0,80
101.128.16.0,80
101.128.32.0,80
101.129.0.0,80
101.130.0.0,80
101.132.0.0,80
101.144.0.0,80
101.192.0.0,80
101.196.0.0,80
101.196.128.0,80
101.196.160.0,80
101.196.164.0,80
101.196.166.0,80
101.196.168.0,80
101.196.176.0,80
101.196.192.0,80
101.197.0.0,80
101.198.0.0,80
101.200.0.0,80
101.203.128.0,80
101.203.160.0,80
101.203.172.0,80
101.203.176.0,80
101.204.0.0,80
101.224.0.0,80
101.232.0.0,80
101.234.64.0,80
101.234.76.0,80
101.234.80.0,80
101.234.96.0,80
101.236.0.0,80
101.240.0.0,80
101.248.0.0,80
101.251.0.0,80
101.251.8.0,80
101.251.16.0,80
101.251.32.0,80
101.251.64.0,80
101.251.128.0,80
101.252.0.0,80
101.254.0.0,80
101.254.64.0,80
101.254.80.0,80
101.254.88.0,80
101.254.90.0,80
101.254.92.0,80
101.254.96.0,80
101.254.128.0,80
103.1.8.0,80
103.1.20.0,80
103.1.24.0,80
103.1.72.0,80
103.1.88.0,80
103.1.168.0,80
103.2.108.0,80
103.2.156.0,80
103.2.164.0,80
103.2.200.0,80
103.2.208.0,80
103.3.84.0,80
103.3.88.0,80
103.3.96.0,80
103.3.128.0,80
103.3.148.0,80
103.3.152.0,80
103.4.56.0,80
103.4.168.0,80
103.4.184.0,80
103.5.36.0,80
103.5.52.0,80
103.5.56.0,80
103.5.168.0,80
103.5.252.0,80
103.6.76.0,80
103.6.220.0,80
103.7.212.0,80
103.7.216.0,80
103.8.4.0,80
103.8.8.0,80
103.8.32.0,80
103.8.52.0,80
103.8.108.0,80
103.8.156.0,80
103.8.200.0,80
103.8.220.0,80
103.9.8.0,80
103.9.152.0,80
103.9.248.0,80
103.10.0.0,80
103.10.16.0,80
103.10.84.0,80
103.10.111.0,80
103.10.140.0,80
103.11.180.0,80
103.12.32.0,80
103.12.136.0,80
103.12.184.0,80
103.12.232.0,80
103.13.12.0,80
103.13.124.0,80
103.13.144.0,80
103.13.196.0,80
103.13.244.0,80
103.14.84.0,80
103.14.132.0,80
103.14.136.0,80
103.14.156.0,80
103.14.240.0,80
103.15.4.0,80
103.15.8.0,80
103.15.16.0,80
103.15.96.0,80
103.15.200.0,80
103.16.52.0,80
103.16.80.0,80
103.16.88.0,80
103.16.108.0,80
103.16.124.0,80
103.17.40.0,80
103.17.120.0,80
103.17.160.0,80
103.17.204.0,80
103.17.228.0,80
103.18.192.0,80
103.18.208.0,80
103.18.224.0,80
103.19.12.0,80
103.19.40.0,80
103.19.45.0,80
103.19.46.0,80
103.19.64.0,80
103.19.72.0,80
103.19.232.0,80
103.20.12.0,80
103.20.44.0,80
103.20.46.0,80
103.20.112.0,80
103.20.128.0,80
103.20.160.0,80
103.20.248.0,80
103.21.112.0,80
103.21.140.0,80
103.21.176.0,80
103.21.240.0,80
103.22.0.0,80
103.22.64.0,80
103.22.100.0,80
103.22.104.0,80
103.22.112.0,80
103.22.188.0,80
103.22.228.0,80
103.22.252.0,80
103.23.8.0,80
103.23.56.0,80
103.23.160.0,80
103.23.176.0,80
103.23.228.0,80
103.24.116.0,80
103.24.128.0,80
103.24.144.0,80
103.24.176.0,80
103.24.184.0,80
103.24.220.0,80
103.24.228.0,80
103.24.252.0,80
103.25.20.0,80
103.25.24.0,80
103.25.32.0,80
103.25.40.0,80
103.25.48.0,80
103.25.64.0,80
103.25.148.0,80
103.25.156.0,80
103.25.216.0,80
103.26.0.0,80
103.26.64.0,80
103.26.76.0,80
103.26.156.0,80
103.26.160.0,80
103.26.228.0,80
103.26.240.0,80
103.27.4.0,80
103.27.12.0,80
103.27.24.0,80
103.27.56.0,80
103.27.96.0,80
103.27.240.0,80
103.28.4.0,80
103.28.8.0,80
103.28.144.0,80
103.28.204.0,80
103.28.212.0,80
103.29.16.0,80
103.29.128.0,80
103.29.136.0,80
103.30.20.0,80
103.30.48.0,80
103.30.96.0,80
103.30.148.0,80
103.30.202.0,80
103.30.216.0,80
103.30.228.0,80
103.30.234.0,80
103.30.236.0,80
103.31.48.0,80
103.31.60.0,80
103.31.64.0,80
103.31.72.0,80
103.31.148.0,80
103.31.160.0,80
103.31.168.0,80
103.31.200.0,80
103.32.0.0,80
103.34.0.0,80
103.35.0.0,80
103.35.32.0,80
103.35.48.0,80
103.35.104.0,80
103.35.220.0,80
103.36.28.0,80
103.36.36.0,80
103.36.56.0,80
103.36.64.0,80
103.36.72.0,80
103.36.96.0,80
103.36.132.0,80
103.36.136.0,80
103.36.160.0,80
103.36.192.0,80
103.36.224.0,80
103.36.240.0,80
103.37.12.0,80
103.37.16.0,80
103.37.24.0,80
103.37.44.0,80
103.37.52.0,80
103.37.56.0,80
103.37.72.0,80
103.37.100.0,80
103.37.104.0,80
103.37.136.0,80
103.37.144.0,80
103.37.160.0,80
103.37.172.0,80
103.37.176.0,80
103.37.208.0,80
103.37.252.0,80
103.38.0.0,80
103.38.32.0,80
103.38.40.0,80
103.38.76.0,80
103.38.84.0,80
103.38.92.0,80
103.38.96.0,80
103.38.116.0,80
103.38.132.0,80
103.38.140.0,80
103.38.220.0,80
103.38.224.0,80
103.38.232.0,80
103.38.252.0,80
103.39.64.0,80
103.39.88.0,80
103.39.100.0,80
103.39.104.0,80
103.39.160.0,80
103.39.200.0,80
103.39.208.0,80
103.39.224.0,80
103.39.232.0,80
103.40.12.0,80
103.40.16.0,80
103.40.32.0,80
103.40.88.0,80
103.40.192.0,80
103.40.212.0,80
103.40.220.0,80
103.40.228.0,80
103.40.232.0,80
103.40.240.0,80
103.41.0.0,80
103.41.52.0,80
103.41.140.0,80
103.41.148.0,80
103.41.152.0,80
103.41.160.0,80
103.41.220.0,80
103.41.224.0,80
103.41.232.0,80
103.42.8.0,80
103.42.24.0,80
103.42.32.0,80
103.42.64.0,80
103.42.76.0,80
103.42.232.0,80
103.43.26.0,80
103.43.84.0,80
103.43.96.0,80
103.43.104.0,80
103.43.124.0,80
103.43.184.0,80
103.43.192.0,80
103.43.208.0,80
103.43.220.0,80
103.43.224.0,80
103.43.240.0,80
103.44.56.0,80
103.44.80.0,80
103.44.120.0,80
103.44.144.0,80
103.44.152.0,80
103.44.168.0,80
103.44.176.0,80
103.44.192.0,80
103.44.224.0,80
103.44.236.0,80
103.44.240.0,80
103.45.0.0,80
103.45.72.0,80
103.45.80.0,80
103.45.96.0,80
103.45.128.0,80
103.45.192.0,80
103.45.224.0,80
103.45.248.0,80
103.46.0.0,80
103.46.12.0,80
103.46.16.0,80
103.46.32.0,80
103.46.64.0,80
103.46.128.0,80
103.46.136.0,80
103.46.152.0,80
103.46.160.0,80
103.46.176.0,80
103.46.244.0,80
103.46.248.0,80
103.47.4.0,80
103.47.20.0,80
103.47.36.0,80
103.47.40.0,80
103.47.80.0,80
103.47.96.0,80
103.47.116.0,80
103.47.120.0,80
103.47.136.0,80
103.47.212.0,80
103.48.52.0,80
103.48.92.0,80
103.48.148.0,80
103.48.202.0,80
103.48.216.0,80
103.48.224.0,80
103.48.240.0,80
103.49.12.0,80
103.49.20.0,80
103.49.72.0,80
103.49.96.0,80
103.49.108.0,80
103.49.128.0,80
103.49.176.0,80
103.50.36.0,80
103.50.44.0,80
103.50.48.0,80
103.50.64.0,80
103.50.72.0,80
103.50.92.0,80
103.50.108.0,80
103.50.112.0,80
103.50.132.0,80
103.50.136.0,80
103.50.172.0,80
103.50.176.0,80
103.50.192.0,80
103.50.200.0,80
103.50.220.0,80
103.50.224.0,80
103.50.240.0,80
103.50.248.0,80
103.52.40.0,80
103.52.72.0,80
103.52.80.0,80
103.52.96.0,80
103.52.104.0,80
103.52.160.0,80
103.52.172.0,80
103.52.176.0,80
103.52.184.0,80
